CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION,STREET_LABEL,STREET_ANSWER,STREET_CORRECTNESS,IS_CATEGORY_CORRECT,CATEGORY_ANSWER,RESPONSE
2020-08-11,"4585 N 23RD ST, MILWAUKEE, WISCONSIN, 53209-6270",Interior of Building in Disrepair,2020-08-17,Inspect property of 4585 N 23rd Street. Dryer vent is clogged with lint. This is a fire hazard.,23rd Street,,0,False,,
2020-10-05,"2021 W ATKINSON AV, MILWAUKEE, WISCONSIN, 53209-0000",Interior of Building in Disrepair,2020-10-06,"2021-27 W Atkinson Ave:  Apartment # 101.  Orders pending.  Additional violations cited.  Special Enforcement jurisdiction:  Plaster/ paint, door coming off hinges and kitchen floor covering defective.",Atkinson Ave,,0,False,,
2020-06-26,3350 S 35TH ST,Interior of Building in Disrepair,2020-07-02,"neighbors house has a lot of things wrong outside and inside.  The landlord will not fix ANYTHING!  Downstairs tenant has had sewage backing up for 2 weeks landlord still has not sent out plumber she has no money.  The ceiling in the lower unit bathroom has caved in over shower and again landlord will not fix.  this is a horrible living condition when a tenant has health issues.  The landlords info is Theresa (Terry) Kartye and she lives in Waterford, 6721 Spruce Lane. 262-332-3091 and owns multiple properties.  She just rented the upper of the duplex and is also in horrible shape, I wouldn't even get paid to live there.  Please help!!  Greenfield will NOT do anything about this without the landlords permission 
Property is @ 3400 W. Alvina Ave.  Neighbor is petrified about being evicted or retaliation from landlord",Alvina Ave,,0,False,,
2021-02-26,"4904 W VLIET ST, MILWAUKEE, WISCONSIN, 53208-0000",Interior of Building in Disrepair,,"interior of 3 story building, front and back stairs, 1st, 2nd and 3rd floor hallways, front entrance, has not been cleaned or vacuumed in over 2 months",0,,0,False,,
2020-10-06,"2207 N 48TH ST, MILWAUKEE, WISCONSIN, 53208-1124",Interior of Building in Disrepair,,Basement- (Lower); Water & lots of moisture on walls & all walls are damp & Mold sited on all walls; since May  16th;  Agreed to Terms,0,,0,False,,
2020-08-28,"3016 S HANSON AV, MILWAUKEE, WISCONSIN, 53207-2423",Interior of Building in Disrepair,2020-09-14,"On Saturday June 20th, there was various leaks in our ceiling, and water seeping down the walls from a rainstorm. Our property management company was informed and stated, There was nothing they could do on a weekend, and if its raining. They did not get a roofer out there on Monday, even though it was not raining all day. Then there was another storm Monday night and the ceiling in the dining room and kitchen collapsed. They came out to the property on Tuesday, June 23rd, and tore up the majority of the drywall ceiling in the kitchen and dining room. They have not done any repairs to date.",0,,0,False,,
2020-08-14,"1955 N 32ND ST, MILWAUKEE, WISCONSIN, 53208-1903",Interior of Building in Disrepair,2020-08-14,"Service deficiencies:
1.)	100amp service panel overfilled, cannot fully close cover.
a.	Per 2017 NEC 230.62
2.)	Circuitry is arranged so as to bypass metering intended for its relative panel - No service disconnect at 2nd from left panel, 6 disconnects in this panel. Service conductors tapped in 2nd from left panel feeding 100amp panel to far right with undersized #6 wire originating in 2nd from left panel feeding the 100amp panel.
a.	Per 2017 NEC Article 230 Part VI
b.	Per 2017 NEC 310.15(B)
3.)	Multiple panels have neutral terminals shared and overloaded with EGCs.
a.	Per 2017 NEC 408.31
4.)	Verify listing information, concerning use of tandem breakers.
a.	Per 2017 NEC 110.3
5.)	Verify connection of panels to GEC
a.	Per 2017 NEC Article 250 Part III
Basement deficiencies:
1.)	NM cabling ran underneath joists.
a.	Strike Sheet #302
2.)	Open boxes in basement.
a.	Strike Sheet #321
3.)	Pullchain/keyless fixtures found hanging by wiring.
a.	Strike Sheet #501
4.)	EMT and MC cable runs to be supported.
a.	Strike Sheet #316",0,,0,False,,
2020-08-06,"2330 W ROOSEVELT DR, MILWAUKEE, WISCONSIN, 53209-0000",Interior of Building in Disrepair,2020-08-11,"OUTLETS- Only  (1) outlet in 1st Bedroom & only (1) outlet in 2nd Bedroom,  Having to run Extension cords; without for over (1)yr;  Bedbugs found in Carpet & on Walls;  Caller agreed to interior inspection expectations.",0,,0,False,,
2020-06-18,"9060 N 85TH ST, 13, MILWAUKEE, WISCONSIN, 53224-1840",Interior of Building in Disrepair,2020-06-18,"This building was recently purchased by someone who lives in the state of California. It is ran by a Milwaukee management company who does not keep the building clean i.e. hallways, basement, exterior of the building, etc. Prior to the new owner purchasing the building, I lived there for 8 years, and within those 8 years my apartment had not been painted, now carpet cleaned/replaced; mold in the bathroom around the tub; closet doors falling off; etc. The basement is a fire hazard as there is nothing by garbage in all of the basement storage spaces which has been down there for years. Most of the garbage that is down there was left behind by tenants who have been gone over 5 years. Each time they rent out an apartment the storage lockers in the basement are never cleaned out for the new tenants to use. The building is supposed to be secure but every door in the basement of all of the buildings are never locked and I never had a key to the basement in the 8 years that i lived there. The carpet is so filthy as it has not been replaced in 8 years. I have gotten it cleaned out of my own pockets 3-4 times but it should be replaced due to normal wear and tear. The only time the carpet is cleaned or replaced in an apartment is when they are renting one out and once the tenant moves in, nothing else is done to their apartment. There are rats in the basement; they have 1 washer and 1 dryer for 16 tenants on each side of the building. Specifically 9060 N. 85th St. All of the hallways look and smell horrible. No one should be forced to live like this especially if they are paying over $800.00 a month in rent. I moved out but my daughter still resides at 9060 N. 85th Street, Milwaukee, WI 53224 in apartment 13. There is so much more wrong with this building, but this is the brunt of",85th Street,,0,False,,
2020-09-21,"11513 W BROWN DEER RD, MILWAUKEE, WISCONSIN, 53224-0000",Interior of Building in Disrepair,2020-09-29,KITCHEN- (Apt# 207); Mold sited under the Sink; Problem since August 24th & mgment no longer responding; Child aged- (7)yrs.  Agreed to Terms,0,,0,False,,
2020-10-30,"2229 N 33RD ST, MILWAUKEE, WISCONSIN, 53208-1429",Interior of Building in Disrepair,2020-11-06,"Hole in kitchen above sink, bathroom wall rotted, hole above shower and mice.  entered address: 2229  N 33RD ST",33rd Street,,0,False,,
2021-02-27,"1943 N SUMMIT AV, MILWAUKEE, WISCONSIN, 53202-0000",Interior of Building in Disrepair,,"Please help, I don't know where else to file this and things just keep getting worse and worse. I have already had no heating for 1 month (I filed a complaint for that one), and now our refrigerator doesn't work and all of our food is spoiling. The company (Ogden) has basically ghosted me and will not reply to any emails or return phone calls. I truly have no way to reach them since their offices are closed due to COVID and calling them is completely useless (nobody ever picks up after being transferred by the receptionist, nor do they return phone calls). It has been impossible to reach the building manager as well, and their 24 hr emergency line that is supposed to take care of fixing things or outsourced and they have NO RECORD of this company. The two times I've called they have been unable to locate Ogden in their system, which results in nothing being done. Below you will find my first complaint...

I live in apartment 24. Moved in on January 30th. Heat went out in the first days of February, rental company has not acknowledged or answered 4 different emails I have sent asking about fixing the heat. It has been brutally cold in the apartment (I have proof of windows and door frames freezing over). 3 different people have come to look at the radiator, no fix has been issued and the company keeps ignoring my emails. I am not the only tenant with a problem from what I've heard, but maybe the others have not complained. The rental company (Ogden RE) basically gave us two mini heaters that frankly do nothing and expect us to just keep living like this. Their contact information is: (414)276-5285. Property manager: Tina Wilson (414)270-4149.

Please bear with me since it's nearly impossible for me to answer the phone Monday through Wednesday during normal business hours",0,,0,False,,
2020-10-07,"3540 N 19TH ST, MILWAUKEE, WISCONSIN, 53206-2309",Interior of Building in Disrepair,,"Sewage Backup Throughout the property
Exposed electric wires throughout the house.
Insuficient heating throughout the house
Missing Water Meter
Broken windows
Rotting wood on both back and front Porch
Insect infestation throughout the property
HVAC Vents not up to code.
3540 N 19th St, Milwaukee, WI 53206",19th Street,,0,False,,
2020-08-24,"10420 W JONEN ST, MILWAUKEE, WISCONSIN, 53224-5127",Interior of Building in Disrepair,2020-10-06,"Dog dirt in basement, 1st floor toilet broken, stairs have broken tile, outlets falling out, light switches donäó»t work.  Caller agreed to interior inspection expectations.",0,,0,False,,
2020-08-27,"901 W WINNEBAGO ST, MILWAUKEE, WISCONSIN, 53205-0000",Interior of Building in Disrepair,2020-09-16,"Water Damage- (Apt# 106); Living Rm, Front Bed room, Kitchen, Bathroom & Hallway; due to 1st a Fire from May & then damaged again in July; Carpets need to be replaced.  Agreed to Terms",0,,0,False,,
2020-09-28,"4241 N 75TH ST, MILWAUKEE, WISCONSIN, 53216-1001",Interior of Building in Disrepair,2020-10-09,BASEMENT- (side door-top bell); Illegal Tenants living in room; Laundry Room- Door removed from Tenants side; Dog roams freely throughout building & urine & drops feces; Bad smells & odors; Garbage- left on table by back door.  Must call 1st;  Agreed to Terms,0,,0,False,,
2020-11-16,"1932 W BROWN ST, MILWAUKEE, WISCONSIN, 53205-1141",Interior of Building in Disrepair,,"ATTIC- (Upper); Lots of water leaking from the Attic; ROOF is completely off with holes & water entering through wall & leaks into KITCHEN, LIVING ROOM & BEDROOM-from the back to the CHIMNEY area; WIND damage has taken off the Tarp; since Nov 6th; Tenant reported & no response; (74)yrs old; Agreed to Terms",0,,0,False,,
2020-08-06,"3100 W WISCONSIN AV, 101, MILWAUKEE, WISCONSIN, 53208-3956",Interior of Building in Disrepair,2020-08-17,Water- Leaking from 2nd floor Laundry into the back Hallway & into 1st & 3rd floor areas; MOLD sited;  since for over (3)months.  Caller agreed to interior inspection expectations.,0,,0,False,,
2020-09-10,"3016 S HANSON AV, MILWAUKEE, WISCONSIN, 53207-2423",Interior of Building in Disrepair,2020-09-15,DINING ROOM & KITCHEN- (Upper); Ceiling missing; had been leaking & completely collapsed & now fell in-bad smells; problem since June 20th;  Agreed to Terms,0,,0,False,,
