CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION,IS_CATEGORY_CORRECT,CATEGORY_ANSWER,IS_SUBCATEGORY_CORRECT,SUBCATEGORY_ANSWER,RESPONSE
2020-07-10 00:00:00,"3741 N 87TH ST, MILWAUKEE, WISCONSIN, 53222-2838",Garbage Cart: Additional,,Duplex - Property owner is requesting an additional G-cart- P/O is aware of additional fee. Thank you,False,False,False,False,
2020-12-02 00:00:00,"3783 N 9TH ST, MILWAUKEE, WISCONSIN, 53206-3309",Garbage Cart: Additional,,"One unit, 1 G cart on site, owner, aware of fees. Please mark address on G cart, thank you.",False,False,False,False,
2020-06-26 00:00:00,"3047 N FARWELL AV, MILWAUKEE, WISCONSIN, 53211-3307",Garbage Cart: Additional,,"Resident states additional garbage was not taken. Part of the issue might be that he put garbage in cardboard boxes. Or perhaps, he has more than one cubic yard out there. PLEASE INFORM resident of any issues as there is likely a problem here.",False,False,False,False,
2020-07-30 00:00:00,"1662 N CASS ST, MILWAUKEE, WISCONSIN, 53202-2053",Garbage Cart: Additional,,i own a duplex and the 2 garbage carts have been missing for over 6 months.,False,False,False,False,
2020-09-23 00:00:00,"2963 N VEL R PHILLIPS AV, MILWAUKEE, WISCONSIN, 53212-2303",Garbage Cart: Additional,,Duplex - Caller is requesting an additional G-cart. P/o is aware of additional Fee. Thank you,False,False,False,False,
2020-05-22 00:00:00,"2828 S 35TH ST, MILWAUKEE, WISCONSIN, 53215-3546",Garbage Cart: Additional,,with the stay at home policy our family has additional garbage and we are in dire need of 1 garb can,False,False,False,False,
2020-06-10 00:00:00,"5529 N 32ND ST, MILWAUKEE, WISCONSIN, 53209-4831",Garbage Cart: Additional,,"A new garbage cart was delivered today 6/10/20.
They took the good garbage cart and left the old one with the broken top. I still would like a new one for the broken one.",False,False,False,False,
2020-09-08 00:00:00,"3208 N RICHARDS ST, MILWAUKEE, WISCONSIN, 53212-2160",Garbage Cart: Additional,,I need additional garbage cans i currently have 2 only. I have 10 people residing in my home and I need at least 4-6 to be able to keep my property clean of trash. I am the owner of the property aswell,False,False,False,False,
2020-05-26 00:00:00,"3200 S HERMAN ST, MILWAUKEE, WISCONSIN, 53207-2852",Garbage Cart: Additional,,St. Luke's Church recently had 2 garbage cans taken. It is my understanding that they were broken. I was told to request new ones online. Thank you for considering our request.,False,False,False,False,
2020-09-25 00:00:00,"1629 S 30TH ST, MILWAUKEE, WISCONSIN, 53215-1942",Garbage Cart: Additional,,"owner. single family. stated she usually has 2 G carts on site, crew took one away today because it was damaged. requesting additional cart",False,False,False,False,
2020-10-09 00:00:00,"1060 N 47TH ST, MILWAUKEE, WISCONSIN, 53208-3123",Garbage Cart: Additional,,"Owner requesting additional garbage cart, she is aware of fee. Would also like to have cart on site inspected.",False,False,False,False,
2020-10-28 00:00:00,"4863 N 104TH ST, MILWAUKEE, WISCONSIN, 53225-4015",Garbage Cart: Additional,,"Please deliver an extra garbage cart.  This is a duplex and tenants are often overfull, which leaves carts open to rodents.",False,False,False,False,
2020-11-27 00:00:00,"6063 N 122ND ST, MILWAUKEE, WISCONSIN, 53225-1003",Garbage Cart: Additional,,Caller stated that her garbage is overflowing and needs to request an additional cart; Owner is aware of additional fees,False,False,False,False,
2020-06-23 00:00:00,"6316 N 107TH ST, MILWAUKEE, WISCONSIN, 53225-1305",Garbage Cart: Additional,,We have one cart already but for our big family is not enough we keeping many full garbage bags at home and thatâ€™s why we are requesting an other cart for us,False,False,False,False,
2020-08-20 00:00:00,"1216 N 43RD ST, MILWAUKEE, WISCONSIN, 53208-2721",Garbage Cart: Additional,,Caller states just purchased home and is owner of property. Aware of charges. Single family home.,False,False,False,False,
2020-06-01 00:00:00,"1921 N 32ND ST, MILWAUKEE, WISCONSIN, 53208-1903",Garbage Cart: Additional,,Single family - Property manager is requesting additional G-cart. Property manager is aware of additional fees. Thank you,False,False,False,False,
2020-09-28 00:00:00,"437 E ARMOUR AV, MILWAUKEE, WISCONSIN, 53207-5845",Garbage Cart: Additional,,please bring us one additional garbage cart. I understand that there is a fee for the cart.,False,False,False,False,
2020-07-30 00:00:00,"3338 N OAKLAND AV, MILWAUKEE, WISCONSIN, 53211-3011",Garbage Cart: Additional,,this is a duplex and the 2 garbage carts have been missing for over 6 months.,False,False,False,False,
2020-08-07 00:00:00,"4132 N 12TH ST, MILWAUKEE, WISCONSIN, 53209-7010",Garbage Cart: Additional,,Tenants need a second cart. They are filling the first one every week and overflow is a problem.,False,False,False,False,
2020-08-18 00:00:00,"6718 W CHAMBERS ST, MILWAUKEE, WISCONSIN, 53210-1331",Garbage Cart: Additional,,I would only need the extra garbage bin for a couple of months. I am cleaning out my house in preparation for moving. Thank you!,False,False,False,False,
2020-06-09 00:00:00,"6205 W LISBON AV, MILWAUKEE, WISCONSIN, 53210-0000",Garbage Cart: Additional,,"Nobody came and picked our trash up last week
8 cans for 12 units? 
Need two more if possible 
Need two more recycling bins too
Only got 2 recycling bins  for for 12 units 
Please help thank you",False,False,False,False,
2020-06-05 00:00:00,"10237 W TERRA AV, MILWAUKEE, WISCONSIN, 53224-2624",Garbage Cart: Additional,,"caller is not listed as property owner, caller advised owner needs to req add. g cart",False,False,False,False,
