TRANSCRIPTION_NUMBER,KINDNESS,ABILITY_TO_EXPLAIN,PITCH_SALE,CUSTOMER_SATISTFACTION,TARGET_KINDNESS,TARGET_EXPLAIN,TARGET_PITCH,TARGET_SATISFACTION,OVERALL,TARGET_OVERALL
1,1,1,1,1,1,1,1,1,4,4
2,1,1,1,1,1,0.75,1,1,4,3.75
3,1,1,1,1,1,0.75,1,1,4,3.75
4,1,1,1,1,1,0.75,1,1,4,3.75
5,1,1,1,1,1,1,1,1,4,4
6,1,1,1,1,1,0.75,0,0.75,4,2.5
7,1,1,1,1,1,1,1,1,4,4
8,1,1,1,1,1,1,1,1,4,4
9,1,1,1,1,1,1,1,1,4,4
10,1,1,0,1,1,1,0,1,3,3
11,1,1,1,1,0,1,1,0,4,2
12,0,1,0,1,0,0,0,0,2,0
13,1,1,0,1,0,0.5,0,0,3,0.5
14,1,1,0,1,0,0.5,0,0,3,0.5
15,0,0,0,1,0,0,0,0,1,0
16,1,1,1,1,0.75,1,1,0.5,4,3.25
17,1,1,0,1,0,0,0,0,3,0
18,0,0,0,0,0,0,0,0,0,0
